Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1987,0.437,0.773,1.955,3.65,6.052,8.307,10.243,11.461,12.447,18.691,16.11,16.389,18.508,16.02,0
1988,0.466,0.753,1.975,3.187,5.992,7.914,9.764,12.127,14.242,17.787,16.134,14.614,21.61,17.894,15.068
1989,0.364,0.932,1.81,3.585,5.273,7.921,9.724,11.212,12.586,15.557,14.107,16.802,15.478,22.499,0
1990,0.382,0.69,2.165,3.791,5.931,7.89,10.235,10.923,12.803,15.525,14.064,19.833,31.261,16.162,17.687
1991,0.393,0.889,1.995,3.971,6.082,8.033,9.545,10.948,13.481,13.171,14.566,15.187,20.188,17.547,0
1992,0.395,0.97,2.546,4.223,6.247,8.483,10.101,10.482,11.849,13.904,14.039,16.126,16.603,19.2,0
1993,0.326,0.846,2.477,4.551,6.54,8.094,9.641,10.734,12.329,13.443,11.895,15.385,15.194,18.907,19.208
1994,0.305,0.788,2.188,4.471,7.167,8.436,9.537,10.323,12.223,14.247,12.5,12.501,13.601,14.855,0
1995,0.42,0.768,2.206,4.293,7.22,8.98,10.282,11.743,13.107,12.052,13.993,13.657,14.467,0,0
1996,0.433,0.831,2.095,4.034,6.637,8.494,9.729,11.08,12.264,12.756,10.621,11.201,16.749,0,10.613
1997,0.386,0.797,2.117,3.821,6.228,8.394,9.979,11.424,12.3,12.761,13.222,11.034,14.871,16.344,0
1998,0.372,0.634,1.622,3.495,5.387,7.563,9.628,10.643,11.499,13.085,12.432,18.742,15.926,21.273,16.746
1999,0.318,0.732,1.405,3.305,5.726,7.403,8.582,10.365,11.6,12.33,11.667,16.974,0,0,0
2000,0.354,0.903,1.747,3.216,4.903,7.488,9.636,10.671,10.894,11.414,15.089,15.004,0,0,0
2001,0.372,0.606,2.093,3.663,5.871,7.333,9.264,10.081,12.062,12.009,9.324,15.805,0,0,0
2002,0.298,0.572,1.576,3.726,5.537,8.006,9.451,10.012,11.888,12.795,13.208,10.045,0,0,0
2003,0.285,0.781,1.645,3.298,5.757,6.694,8.838,12.674,11.518,11.053,14.988,14.894,15.661,0,0
2004,0.269,0.496,1.712,3.075,5.175,7.449,8.974,9.894,11.857,12.095,14.206,13.005,0,0,0
2005,0.342,0.86,1.529,3.533,5.124,7.201,9.457,10.567,11.384,12.066,23.997,13.482,0,0,0
2006,0.25,0.236,1.804,3.828,5.665,7.229,9.262,10.477,12.325,14.862,17.875,18.411,0,0,0
2007,0.313,0.893,2.001,4.026,6.117,8.543,9.255,10.293,12.282,14.559,22.018,12.61,7.671,0,0
2008,0.424,0.904,1.966,3.89,6.207,7.491,9.644,11.489,11.387,12.725,15.381,0,0,0,0
2009,0.406,1.133,2.355,4.023,6.154,7.56,9.733,11.447,11.291,11.786,25.448,12.037,13.563,16.906,13.1
2010,0.335,0.965,2.426,4.18,6.033,8.299,9.472,11.631,12.827,12.083,10.052,0,0,0,0
2011,0.405,0.915,2.438,4.569,6.472,7.829,9.656,9.461,10.853,14.436,12.588,11.364,0,0,0
2012,0.274,0.8,2.252,4.154,6.392,8.117,9.095,11.799,12.548,11.754,21.367,18.379,0,0,0
2013,0.388,0.932,2.249,4.06,5.999,8.36,9.385,9.486,11.364,11.68,41.862,11.681,21.494,21.494,0
2014,0.398,0.927,2.237,4.083,5.598,7.392,9.19,9.18,11.469,16.456,34.656,0,0,0,0
2015,0.36,0.941,2.097,4.031,5.802,6.764,8.603,9.416,8.67,13.838,17.397,37.832,0,0,0
